filename,type,D,d_max,V_in,V_ex,V_exc,epsilon
compacted_1.npz,Sand mound,-1,-1.926,-1,-1,65729.92698,-1
compacted_2.npz,Sand mound,-1,-0.55,-1,-1,57497.75033,-1
compacted_3.npz,Sand mound,-1,-0.454,-1,-1,121301.8121,-1
compacted_4.npz,Sand mound,-1,-1.188,-1,-1,109114.5621,-1
compacted_5.npz,Sand mound,-1,-1.296,-1,-1,112418.6169,-1
compacted_6.npz,Sand mound,-1,-1.586,-1,-1,109351.8945,-1
compacted_7.npz,Sand mound,-1,-1.77,-1,-1,98309.58584,-1
compacted_8.npz,Sand mound,-1,-1.188,-1,-1,112425.0572,-1
compacted_9.npz,Sand mound,-1,-0.684,-1,-1,144368.9814,-1
compacted_10.npz,Sand mound,-1,-1.136,-1,-1,128585.6804,-1
compacted_11.npz,Sand mound,-1,-1.802,-1,-1,115388.9392,-1
compacted_12.npz,Sand mound,-1,-1.064,-1,-1,141891.0424,-1
compacted_13.npz,Sand mound,-1,-0.856,-1,-1,157898.1198,-1
compacted_14.npz,Sand mound,-1,-0.852,-1,-1,113417.4423,-1
compacted_15.npz,Sand mound,-1,-1.22,-1,-1,123525.9725,-1
compacted_16.npz,Sand mound,-1,-0.776,-1,-1,137552.1281,-1
compacted_17.npz,Sand mound,-1,-2.278,-1,-1,179039.3296,-1
compacted_18.npz,Sand mound,-1,-1.372,-1,-1,150200.0941,-1
compacted_19.npz,Sand mound,-1,-1.352,-1,-1,171227.4836,-1
compacted_20.npz,Sand mound,-1,-4.122,-1,-1,106764.7534,-1
compacted_21.npz,Sand mound,-1,-1.19,-1,-1,192242.8723,-1
compacted_22.npz,Sand mound,-1,-0.672,-1,-1,170836.4327,-1
compacted_23.npz,Sand mound,-1,-1.23,-1,-1,191267.389,-1
compacted_24.npz,Sand mound,-1,-0.916,-1,-1,98656.99995,-1
compacted_25.npz,Complex crater,198.9632529,-6.032,151476.6528,31344.36505,137857.9788,0.452606161
compacted_26.npz,Complex crater,197.305138,-6.04,171639.332,11536.45133,150475.8482,0.378299479
compacted_27.npz,Complex crater,210.790322,-3.448,164937.9326,12401.19312,318421.8181,0.265359577
compacted_28.npz,Complex crater,268.6877059,-5.168,155751.4313,12884.87425,323424.3174,0.636074355
compacted_29.npz,Complex crater,228.7545131,-7.114,227318.4401,37088.10977,209952.4626,0.227791104
compacted_30.npz,Complex crater,234.8275707,-3.66,152340.9077,13731.34762,275080.0972,0.446660161
compacted_31.npz,Complex crater,278.8744507,-3.146,113400.0692,9104.898117,460043.9079,0.469802687
compacted_32.npz,Complex crater,245.3882141,-4.224,122249.6179,25579.65012,193388.7561,0.551390389
compacted_33.npz,Complex crater,210.3111008,-3.634,157064.7311,11411.35272,244880.6578,0.231073328
compacted_34.npz,Complex crater,221.7055359,-4.512,184068.7524,31293.18834,342962.6502,0.2140117
compacted_35.npz,Complex crater,230.7122878,-5.132,182815.1431,46397.74613,241902.183,0.372220585
compacted_36.npz,Complex crater,228.9611747,-6.104,127686.7736,56066.7818,132724.7574,0.573703407
compacted_37.npz,Complex crater,229.7050528,-5.448,192188.067,42162.1748,215257.0427,0.375461056
compacted_38.npz,Complex crater,234.2219066,-7.512,228345.2885,51861.30703,191171.8686,0.448917153
compacted_39.npz,Complex crater,237.8998062,-6.466,220124.9714,41053.45616,214134.6109,0.473966764
compacted_40.npz,Complex crater,237.9645566,-7.052,238606.8305,95341.77679,280120.0287,0.157892234
compacted_41.npz,Simple crater,236.404471,-6.622,245321.3775,63436.63569,236636.1817,0.217758499
compacted_42.npz,Complex crater,256.0351681,-7.236,213081.9385,93936.82073,208791.1849,0.412531462
compacted_43.npz,Simple crater,242.2483283,-8.21,278917.816,85732.41585,218843.8574,0.355035113
compacted_44.npz,Complex crater,257.1650977,-7.396,295993.8393,89212.4946,278184.3146,0.399687145
compacted_45.npz,Complex crater,237.9115008,-7.198,251923.5808,80799.51873,256029.9537,0.152941296
compacted_46.npz,Complex crater,294.4585934,-8.95,177279.2625,97760.54368,267760.4775,0.769692561
compacted_47.npz,Simple crater,256.0426558,-11.252,365845.3445,171259.7793,144318.5587,0.284279666
compacted_48.npz,Complex crater,403.9750827,-11.562,399394.1249,194596.6394,386085.2286,0.644207635
compacted_49.npz,Complex crater,303.549005,-6.894,183685.3041,45852.77234,336109.0873,0.718058415
